id_company,date_waste,kitchen,shift,type_waste,weight,covers,heatmap,heatmap_text
APAC Hyatt Seoul SELRS,2022-04-12,Bakery,Breakfast,buffet,1.3,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-12,Commissary,Breakfast,preparation,1.5,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-12,Commissary,Breakfast,preparation,2.5,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-12,Commissary,Breakfast,preparation,65.0,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-11,Market Cafe,Breakfast,preparation,0.893,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-11,Epice,Dinner,preparation,0.6,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-11,Market Cafe,Dinner,plate,13.0,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-11,Market Cafe,Dinner,preparation,0.2,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-11,Market Cafe,Dinner,preparation,3.38,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-11,Market Cafe,Dinner,preparation,0.761,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-11,Bakery,Dinner,buffet,5.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-11,Bakery,Dinner,buffet,4.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-11,Bakery,Dinner,preparation,1.3,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-11,Agra,Lunch,preparation,0.5,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-11,Agra,Lunch,preparation,1.2,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-11,Agra,Breakfast,preparation,0.5,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-11,Agra,Breakfast,buffet,1.5,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-11,Agra,Breakfast,spoilage,0.45,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-11,Agra,Breakfast,preparation,2.3,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-11,Agra,Breakfast,preparation,2.47,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-11,Market Cafe,Lunch,plate,13.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-11,Bakery,Lunch,preparation,0.8,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-11,Bakery,Lunch,spoilage,1.5,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-11,Bakery,Dinner,preparation,1.2,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-11,Bakery,Dinner,preparation,2.0,,1.0,C
