id_company,date_waste,kitchen,shift,type_waste,weight,covers,heatmap,heatmap_text
APAC Hyatt Seoul SELRS,2022-04-12,Terrace,Lunch,buffet,0.2,82.0,0.0,OK
APAC Hyatt Seoul SELRS,2022-04-12,Terrace,Lunch,preparation,0.1,82.0,0.0,OK
APAC Hyatt Seoul SELRS,2022-04-12,Sowol Ro,Lunch,plate,1.5,107.0,0.0,OK
APAC Hyatt Seoul SELRS,2022-04-12,Sowol Ro,Lunch,preparation,2.0,107.0,0.0,OK
APAC Hyatt Seoul SELRS,2022-04-12,Sowol Ro,Lunch,preparation,1.95,107.0,0.0,OK
APAC Hyatt Guangzhou GUAGH,2022-04-12,Market Cafe,Breakfast,buffet,2.7,102.0,0.0,OK
APAC Hyatt Guangzhou GUAGH,2022-04-12,Market Cafe,Breakfast,buffet,3.4,102.0,0.0,OK
APAC Hyatt Seoul SELRS,2022-04-12,Terrace,Lunch,preparation,0.5,82.0,0.0,OK
APAC Hyatt Guangzhou GUAGH,2022-04-12,Market Cafe,Breakfast,preparation,1.5,102.0,0.0,OK
APAC Hyatt Guangzhou GUAGH,2022-04-12,Market Cafe,Breakfast,plate,24.5,102.0,0.0,OK
APAC Hyatt Wangjing NAYRW,2022-04-12,Market Cafe,Dinner,spoilage,0.23,4.0,0.0,OK
APAC Hyatt Wangjing NAYRW,2022-04-12,Market Cafe,Lunch,spoilage,1.483,13.0,0.0,OK
APAC Hyatt Wangjing NAYRW,2022-04-12,Market Cafe,Breakfast,buffet,2.8,103.0,0.0,OK
APAC Hyatt Wangjing NAYRW,2022-04-12,Market Cafe,Breakfast,buffet,0.8,103.0,0.0,OK
APAC Hyatt Wangjing NAYRW,2022-04-12,Market Cafe,Breakfast,buffet,1.3,103.0,0.0,OK
APAC Hyatt Wangjing NAYRW,2022-04-12,Market Cafe,Breakfast,buffet,2.7,103.0,0.0,OK
APAC Hyatt Wangjing NAYRW,2022-04-12,Market Cafe,Breakfast,buffet,1.0,103.0,0.0,OK
APAC Hyatt Wangjing NAYRW,2022-04-12,Market Cafe,Breakfast,buffet,3.7,103.0,0.0,OK
APAC Hyatt Wangjing NAYRW,2022-04-12,Market Cafe,Breakfast,buffet,5.1,103.0,0.0,OK
